Compound,Station
MCCL2_013302,EPL201
MCCL2_013310,EPL201
MCCL2_013311,EPL201
MCCL2_013312,EPL201
MCCL2_013320,EPL201
MCCL2_013321,EPL201
MCCL2_013331,EPL201
MCCL2_013340,EPL201
MCCL2_013341,EPL201
MCCL2_013342,EPL201
MCCL2_013401,EPL201
MCCL2_013402,EPL201
MCCL2_015250,EPL201
MCCL2_015650,EPL201
MCCL2_015651,EPL201
SFU_013340,EPL201
SFU_013341,EPL201
SFU_013342,EPL201
SFU_015250,EPL201
SFU_PAKIN,EPL201
SFU_PAKOT,EPL201
SGCMP_013401,EPL201
SGCMP_013402,EPL201
SGCMP1_PAKIN,EPL201
SGCMP1_PAKOT,EPL201
SGCMP2_PAKIN,EPL201
SGCMP2_PAKOT,EPL201
SGHAC_013401,EPL201
SGHAC_013402,EPL201
SGHAC1_PAKIN,EPL201
SGHAC1_PAKOT,EPL201
SGHAC2_PAKIN,EPL201
SGHAC2_PAKOT,EPL201
SILICA_1,EPL201
SILICA_2,EPL201
SULR_013321,EPL201
SULR1_PAKIN,EPL201
SULR1_PAKOUT,EPL201
TL201_013311,EPL201
TL201_013312,EPL201
TL201_013321,EPL201
TL201_013331,EPL201
TL201_013341,EPL201
TL201_BDI_VT,EPL201
TL201_DIAG,EPL201
TL201_GDE_VT,EPL201
TL201_GDH_VT,EPL201
TL201_GDK_VT,EPL201
TL201_GDS_VT,EPL201
TL201_GDZ_VT,EPL201
TL201_HSP_VT,EPL201
TL201_P2P_CC,EPL201
TL201_PAKIN,EPL201
TL201_PAKOUT,EPL201
TL202_013300,EPL201
TL202_013301,EPL201
TL202_013310,EPL201
TL202_013320,EPL201
TL202_013321,EPL201
TL202_013340,EPL201
TL202_013401,EPL201
TL202_014200,EPL201
TL202_015250,EPL201
TL202_330_I3,EPL201
TL202_330_I4,EPL201
TL202_331_I2,EPL201
TL202_DIAG,EPL201
TL202_P2P,EPL201
TL203_013300,EPL201
TL203_013302,EPL201
TL203_013402,EPL201
TL203_014200,EPL201
TL203_330_I3,EPL201
TL203_330_I4,EPL201
TL203_DIAG,EPL201
TL203_P2P,EPL201
TL204_013401,EPL201
TL204_340_I3,EPL201
TL204_DIAG,EPL201
TL204_P2P,EPL201
TL205_013402,EPL201
TL205_340_I3,EPL201
TL205_DIAG,EPL201
TL205_P2P,EPL201
TL206_013311,EPL201
TL206_013312,EPL201
TL206_013321,EPL201
TL206_013331,EPL201
TL206_013341,EPL201
TL206_013900,EPL201
TL206_014200,EPL201
TL206_015650,EPL201
TL206_015651,EPL201
TL206_DIAG,EPL201
TL206_P2P,EPL201
TL206_PAKIN,EPL201
TL206_PAKOUT,EPL201
TL207_012000,EPL201
TL207_012001,EPL201
TL207_012002,EPL201
TL207_012100,EPL201
TL207_012101,EPL201
TL207_012102,EPL201
TL207_015400,EPL201
TL207_015650,EPL201
TL207_200_I3,EPL201
TL207_200_I4,EPL201
TL207_210_I3,EPL201
TL207_210_I4,EPL201
TL207_DIAG,EPL201
TL207_P2P,EPL201
CL301_011990,EPL301
CL301_013303,EPL301
CL301_013304,EPL301
CL301_013403,EPL301
CL301_013404,EPL301
CL301_014203,EPL301
CL301_014603,EPL301
CL301_014800,EPL301
CL301_015253,EPL301
CL301_016003,EPL301
CL302_011990,EPL301
CL302_013304,EPL301
CL302_013404,EPL301
CL302_014204,EPL301
CL302_014604,EPL301
CL302_015254,EPL301
CL302_016004,EPL301
CL302_021990,EPL301
CL303_013313,EPL301
CL303_013314,EPL301
CL303_013322,EPL301
CL303_013332,EPL301
CL303_013342,EPL301
CL304_013313,EPL301
CL304_013314,EPL301
CL304_013322,EPL301
CL304_013332,EPL301
CL304_013342,EPL301
CL304_014202,EPL301
CL304_014602,EPL301
CL304_015202,EPL301
CL304_015222,EPL301
CL304_015252,EPL301
CL304_016002,EPL301
CL305_010000,EPL301
CL305_013303,EPL301
CL305_013304,EPL301
CL305_013403,EPL301
CL305_017000,EPL301
CL305_019700,EPL301
CL305_019800,EPL301
CL306_013303,EPL301
CL306_013304,EPL301
CL306_013404,EPL301
MCCL3_011990,EPL301
MCCL3_013303,EPL301
MCCL3_013304,EPL301
MCCL3_013313,EPL301
MCCL3_013314,EPL301
MCCL3_013322,EPL301
MCCL3_013332,EPL301
MCCL3_013342,EPL301
MCCL3_013403,EPL301
MCCL3_013404,EPL301
SGCMP_013403,EPL301
SGCMP_013404,EPL301
SGCMP3_PAKIN,EPL301
SGCMP3_PAKOT,EPL301
SGCMP4_PAKIN,EPL301
SGCMP4_PAKOT,EPL301
SGHAC_013403,EPL301
SGHAC_013404,EPL301
SGHAC3_PAKIN,EPL301
SGHAC3_PAKOT,EPL301
SGHAC4_PAKIN,EPL301
SGHAC4_PAKOT,EPL301
SILICA_3,EPL301
SILICA_4,EPL301
SULR_013322,EPL301
SULR2_PAKIN,EPL301
SULR2_PAKOUT,EPL301
TL301_013313,EPL301
TL301_013314,EPL301
TL301_013322,EPL301
TL301_013332,EPL301
TL301_013342,EPL301
TL301_BDI_VT,EPL301
TL301_DIAG,EPL301
TL301_GDE_VT,EPL301
TL301_GDK_VT,EPL301
TL301_GDS_VT,EPL301
TL301_GDZ_VT,EPL301
TL301_HSP_VT,EPL301
TL301_PAKIN,EPL301
TL301_PAKOUT,EPL301
TL302_000000,EPL301
TL302_013300,EPL301
TL302_013303,EPL301
TL302_013403,EPL301
TL302_014200,EPL301
TL302_330_I3,EPL301
TL302_330_I4,EPL301
TL302_DIAG,EPL301
TL302_P2P,EPL301
TL303_000000,EPL301
TL303_011990,EPL301
TL303_013300,EPL301
TL303_013304,EPL301
TL303_013404,EPL301
TL303_014200,EPL301
TL303_DIAG,EPL301
TL303_P2P,EPL301
TL304_013403,EPL301
TL304_340_I3,EPL301
TL304_DIAG,EPL301
TL304_P2P,EPL301
TL305_013404,EPL301
TL305_340_I3,EPL301
TL305_DIAG,EPL301
TL305_P2P,EPL301
TL306_013313,EPL301
TL306_013314,EPL301
TL306_013322,EPL301
TL306_013332,EPL301
TL306_013341,EPL301
TL306_013342,EPL301
TL306_DIAG,EPL301
TL306_P2P,EPL301
TL306_PAKIN,EPL301
TL306_PAKOUT,EPL301
BMS1_015250,EPL401
BMS2_015250,EPL401
BMS3_015250,EPL401
CL401_010000,EPL401
CL401_012300,EPL401
CL401_014600,EPL401
CL401_014701,EPL401
CL401_014702,EPL401
CL401_014703,EPL401
CL401_014704,EPL401
CL401_014800,EPL401
CL401_015200,EPL401
CL401_015220,EPL401
CL401_015250,EPL401
CL401_015251,EPL401
CL401_015252,EPL401
CL401_015253,EPL401
CL401_015300,EPL401
CL401_015700,EPL401
CL401_016000,EPL401
CL401_017000,EPL401
CL401_019700,EPL401
CL401_019800,EPL401
COMPA_014600,EPL401
COMPB_014600,EPL401
COMPC_014600,EPL401
COMPD_014600,EPL401
COMPE_014600,EPL401
COMPF_014600,EPL401
COMPG_014600,EPL401
DEM_TIMESYN,EPL401
DEMIN_015220,EPL401
DEMIN_015250,EPL401
DRYRA_014600,EPL401
DRYRA_024600,EPL401
DRYRB_014600,EPL401
DRYRB_024600,EPL401
DRYRC_014600,EPL401
FLTR_015200,EPL401
GTPG_014702,EPL401
INST_AIR_PAK,EPL401
MASTR_014600,EPL401
MASTR_024600,EPL401
MCCL4_012300,EPL401
MCCL4_014600,EPL401
MCCL4_015200,EPL401
MCCL4_015220,EPL401
MCCL4_015250,EPL401
MCCL4_015251,EPL401
MCCL4_015252,EPL401
MCCL4_015253,EPL401
MCCL4_015300,EPL401
MCCL4_015700,EPL401
N2GEN_016000,EPL401
SCPOL_015250,EPL401
SCPOL_TIMSYN,EPL401
SNSWT_015700,EPL401
TL401_017000,EPL401
TL401_017004,EPL401
TL401_017005,EPL401
TL401_017300,EPL401
TL401_BDI_VT,EPL401
TL401_DIAG,EPL401
TL401_GDE_VT,EPL401
TL401_GDH_VT,EPL401
TL401_GDS_VT,EPL401
TL401_HSP_VT,EPL401
TL401_P2P,EPL401
TL401_PAGA,EPL401
TL401_TDL_VT,EPL401
TL401_VT_BDI,EPL401
TL401_VT_GDE,EPL401
TL401_VT_GDH,EPL401
TL401_VT_GDS,EPL401
TL401_VT_TDL,EPL401
TL402_000_I0,EPL401
TL402_000_I2,EPL401
TL402_012100,EPL401
TL402_012300,EPL401
TL402_014200,EPL401
